"country" "iso" "IncomePerCapita" "CO2.pt" "Patents.pt" "LifeExpectancyAtBirth" "UrbanPop.pc" "TotalFertilityRate" "CO2.pc" "logCO2.pc" "logUPop.pc" "Patents.pc" "logPatents.pc" "logIncome" "logFrate" "logLE" "id"
"1" "Austria" "AUT" 36686 8.1788 2.4443 80.51 0.67047 1.385 0.0081788 -4.80620983839538 -0.399776319990696 0.0024443 -6.01399649561507 10.5101504898743 0.325700139639302 4.38838140031189 1
"2" "Belgium" "BEL" 33514 9.89 1.9604 79.777 0.98381 1.8 0.00989 -4.61623113334752 -0.0163224900049422 0.0019604 -6.23460674492888 10.4197185409607 0.587786664902119 4.37923524236086 2
"3" "Bulgaria" "BGR" 11427 6.6901 0.04953 73.317 0.71888 1.46 0.0066901 -5.00712645727061 -0.330060833660287 4.953e-05 -9.91293201136413 9.34373425514671 0.378436435720245 4.29479250560412 3
"4" "Cyprus" "CYP" 26333 7.9427 4.0223 79.058 0.69964 1.49 0.0079427 -4.83550201114929 -0.357189361943275 0.0040223 -5.51590140065701 10.1785781844731 0.398776119957368 4.37018176030596 4
"5" "Czech Republic" "CZE" 23295 11.269 0.17394 77.26 0.73891 1.41 0.011269 -4.48569968601192 -0.302579151648041 0.00017394 -8.65680014580266 10.0559940242509 0.343589704390077 4.34717635723814 5
"6" "Denmark" "DNK" 34629 8.5215 2.9958 78.408 0.86361 1.8923 0.0085215 -4.76516289729898 -0.146634000973602 0.0029958 -5.81054397122966 10.452446760283 0.637793020427868 4.36192596296688 6
"7" "Estonia" "EST" 19079 13.695 0.26674 73.23 0.69371 1.652 0.013695 -4.2907244762671 -0.365701273241417 0.00026674 -8.22923615677003 9.85634353272731 0.501986675098786 4.29360517307298 7
"8" "Finland" "FIN" 33162 10.548 2.1799 79.699 0.83251 1.85 0.010548 -4.5518190104911 -0.18331004518767 0.0021799 -6.1284762747929 10.4091599210613 0.615185639090233 4.37825703866601 8
"9" "France" "FRA" 30491 6.0703 0.86017 81.254 0.86824 1.97 0.0060703 -5.10434725173829 -0.141287104844378 0.00086017 -7.05838051383313 10.325186837083 0.678033542749897 4.39758005076728 9
"10" "Germany" "DEU" 33161 9.5372 0.74147 80.06 0.73305 1.37 0.0095372 -4.65255533765002 -0.310541366597864 0.00074147 -7.20687585573476 10.40912976561 0.314810739840034 4.38277635356443 10
"11" "Greece" "GRC" 27289 8.6619 1.1721 79.594 0.60563 1.46 0.0086619 -4.74882118093425 -0.501486040437234 0.0011721 -6.74895826723514 10.2142389695719 0.378436435720245 4.37693871312494 11
"12" "Hungary" "HUN" 17949 5.4529 0.1383 73.48 0.68035 1.34 0.0054529 -5.21160770173562 -0.38514790734527 0.0001383 -8.88608531929356 9.79528968205814 0.29266961396282 4.29701326034693 12
"13" "Ireland" "IRL" 38237 9.971 3.2629 79.94 0.62356 2.09 0.009971 -4.60807439913548 -0.472310287537657 0.0032629 -5.72513890848476 10.551558912205 0.73716406597672 4.38127635328318 13
"14" "Italy" "ITA" 27951 7.4689 0.5827 81.236 0.679 1.39 0.0074689 -4.89700754637002 -0.387134151423441 0.0005827 -7.44783808381525 10.2382082561185 0.3293037471426 4.39735849867086 14
"15" "Latvia" "LVA" 15730 3.3418 0.72649 72.518 0.67677 1.42 0.0033418 -5.70124569500423 -0.390423797913695 0.00072649 -7.22728583967358 9.66332499605232 0.350656871613169 4.28383480690735 15
"16" "Lithuania" "LTU" 17445 4.5028 0.57087 71.84 0.66821 1.41 0.0045028 -5.40305585348363 -0.403152783592296 0.00057087 -7.46834904498225 9.76680835362087 0.343589704390077 4.27444142399394 16
"17" "Luxembourg" "LUX" 75194 21.897 25.013 79.563 0.85008 1.62 0.021897 -3.82140563784453 -0.162424816279504 0.025013 -3.68835958926709 11.2278267195207 0.482426149244293 4.37654916066551 17
"18" "Malta" "MLT" 22318 6.1828 0.30197 78.951 0.93806 1.31 0.0061828 -5.08598403568611 -0.0639413661367809 0.00030197 -8.10518288327207 10.0131488067456 0.27002713721306 4.36882740686589 18
"19" "Netherlands" "NLD" 37692 10.533 1.6652 80.024 0.81431 1.744 0.010533 -4.55324209312773 -0.205414150098149 0.0016652 -6.39781004264345 10.5372031493266 0.556181325486788 4.38232658968288 19
"20" "Poland" "POL" 16181 8.269 0.059422 75.678 0.61001 1.32 0.008269 -4.79524169624211 -0.494279928506528 5.9422e-05 -9.73084602979548 9.69159299339981 0.27763173659828 4.32648749733311 20
"21" "Portugal" "PRT" 20601 5.4869 1.3014 78.771 0.59266 1.36 0.0054869 -5.20539184596658 -0.523134400233589 0.0013014 -6.64431467090339 9.93309489728879 0.307484699747961 4.36654490882317 21
